Process 1:
Stage 1: 3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,3,3,0,1,0,3,3,0,0,0,0,0,0,1,0,1,1,3,0,0,3,1,1,1,1,1,1,1,1,1,1,1
Stage 2: 3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,3,1,0,1,0,3,3,0,0,0,0,0,0,1,0,1,3,1,0,0,1,3,1,1,1,1,1,1,1,1,1,1
Stage 3: 3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,3,3,0,1,0,3,3,0,0,0,0,0,0,1,0,1,1,3,0,0,1,1,3,1,1,1,1,1,1,1,1,1
Stage 4: 3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,3,1,0,1,0,3,3,0,0,0,0,0,0,1,0,1,3,1,0,0,1,1,1,3,1,1,1,1,1,1,1,1
Stage 5: 3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,3,3,0,1,0,3,3,0,0,0,0,0,0,1,0,1,1,3,0,0,1,1,1,1,3,1,1,1,1,1,1,1
Stage 6: 1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,1,1,0,3,0,1,1,0,0,0,0,0,0,3,0,3,3,1,0,0,1,1,1,1,1,3,1,1,1,1,1,1
Stage 7: 1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,0,0,0,0,0,1,1,0,3,0,1,1,0,0,0,0,0,0,3,0,1,3,1,0,0,1,1,1,1,1,1,3,1,1,1,1,1
Stage 8: 3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,3,3,0,1,0,3,3,0,0,0,0,0,0,1,0,1,1,3,0,0,1,1,1,1,1,1,1,3,1,1,1,1
Stage 9: 1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,3,1,0,1,0,3,1,0,0,0,0,0,0,1,0,1,1,3,0,0,1,1,1,1,1,1,1,1,3,1,1,1
Stage 10: 3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,3,1,0,1,0,3,3,0,0,0,0,0,0,1,0,1,3,1,0,0,1,1,1,1,1,1,1,1,1,3,1,1
